ClientNumber,ClientName,ClientIndustry,StateCode,CardNumber,CardCVN,CardExpiry,ECI,CardPAN,TransactionSource,SummaryCode,BankAccountType,ReferenceNumber,PrincipleAmount,SurchargeRate,SurchargeAmount,LateFee,Amount,Currency,ReminderSent,CreditScore,CreditScoreStatus,CreditStatusProgress,Date,Time
26-1241446,Chase,Human Resources,FL,5066-5113-8419-3637,814,2024-01,REC,VI,BRANCH_PAYMENT,Declined,BranchPayment,FMQT9824845,1943.4,0.01,19.434,0,1962.844,AUD,Yes,391,Poor,NoChange,15/05/2021,3:10 PM
85-9950958,Tessa,Sales,AK,5079-9219-3333-9113,535,2024-04,SSL,AX,BPAY,Declined,BPay,COYH2262981,4849.6,0.02,96.992,0,4946.612,AUD,Yes,423,Poor,NoChange,18/02/2021,3:48 PM
31-9272640,Royal,Human Resources,OH,8946-6725-2599-7067,528,2024-01,MTO,EFT,AUSTRALIA_POST,Pending,AustraliaPost,EKQP4707241,7873,0.005,39.365,0,7912.37,AUD,Yes,377,Poor,Decreased,9/08/2020,2:14 AM
73-2377067,Carlynn,Training,AZ,4671-5107-9700-6128,199,2024-10,SSL,VI,REMITTANCE_PROCESSING_SERVICE,Pending,RemittanceService,WADN1551672,4305.3,0.01,43.053,0,4348.363,AUD,Yes,388,Poor,Decreased,28/11/2020,3:30 AM
96-9572897,Delmar,Sales,KS,1698-2394-0886-3285,814,2024-02,REC,AX,DEBIT_CREDIT_CARD_API,Pending,DirectDebitCredit,QZRF8762026,4271.2,0.02,85.424,0,4356.644,AUD,No,306,Poor,Increased,11/04/2021,10:21 AM
43-9476938,Sheffy,Research and Development,CO,4976-6058-9233-1474,89,2024-01,MTO,MC,BRANCH_PAYMENT,Approved,BranchPayment,ROXR1813714,7701.3,0.01,77.013,0,7778.323,AUD,Yes,593,Fair,Increased,22/11/2021,10:20 AM
25-2164454,Ted,Accounting,PA,7545-4567-1850-3345,42,2024-03,SSL,AX,BRANCH_PAYMENT,Approved,BranchPayment,GMOD9752825,3359,0.02,67.18,0,3426.2,AUD,Yes,560,Poor,Decreased,31/10/2020,5:29 AM
04-5183484,Kiah,Human Resources,CA,0904-7365-4109-9998,39,2024-06,MTO,EFT,REMITTANCE_PROCESSING_SERVICE,Approved,RemittanceService,WJWP1914636,4970.3,0.005,24.8515,0,4995.1565,AUD,Yes,629,Fair,Increased,24/06/2021,12:22 AM
03-1235764,Theadora,Marketing,PA,7010-1877-1828-4017,664,2024-06,REC,MC,AUSTRALIA_POST,Approved,AustraliaPost,TMKO3268951,7331.9,0.01,73.319,0,7405.229,AUD,Yes,525,Poor,Increased,10/10/2021,12:12 AM
12-8576001,Edin,Human Resources,CO,5246-2686-2583-8462,984,2024-02,SSL,MC,REMITTANCE_PROCESSING_SERVICE,Pending,RemittanceService,GJDD8325331,763.4,0.01,7.634,0,771.044,AUD,Yes,356,Poor,Increased,28/10/2021,3:22 AM
73-5977818,Pierette,Research and Development,PA,7015-4915-0444-0402,623,2024-11,REC,MC,BRANCH_PAYMENT,Declined,BranchPayment,LRFJ5624263,269.7,0.01,2.697,0,272.407,AUD,Yes,550,Poor,Decreased,1/07/2020,3:34 AM
26-8739170,Marj,Business Development,MO,6351-3399-2726-2852,914,2024-07,SSL,VI,DEBIT_CREDIT_CARD_API,Pending,DirectDebitCredit,CNPL4950009,5726.2,0.01,57.262,0,5783.472,AUD,No,675,Good,NoChange,28/05/2021,5:49 PM
42-7483248,Mallory,Support,MA,1506-8974-3219-8768,745,2024-09,SSL,MC,BPAY,Approved,BPay,DHMR9767808,2206.1,0.01,22.061,0,2228.171,AUD,No,728,Good,NoChange,11/07/2020,4:34 PM
33-8428360,Rolph,Sales,CA,6537-1504-3834-7276,589,2024-11,SSL,VI,DEBIT_CREDIT_CARD_API,Approved,DirectDebitCredit,DSBQ4060903,8682.1,0.01,86.821,0,8768.931,AUD,Yes,448,Poor,Decreased,15/11/2021,6:32 PM
17-6008411,Kary,Business Development,IA,7690-8328-9108-8183,352,2024-03,REC,VI,AUSTRALIA_POST,Pending,AustraliaPost,FMFT1810681,2497.7,0.01,24.977,0,2522.687,AUD,Yes,593,Fair,NoChange,4/03/2021,1:09 PM
72-7725974,Arnoldo,Business Development,PA,6600-4802-9393-6341,427,2024-01,SSL,AX,AUSTRALIA_POST,Declined,AustraliaPost,XKRF5910433,6088,0.02,121.76,0,6209.78,AUD,Yes,513,Poor,Increased,7/02/2021,4:04 AM
75-6563737,Rubie,Research and Development,OR,4040-6569-4328-7709,564,2024-02,SSL,MC,BRANCH_PAYMENT,Pending,BranchPayment,POUI4364648,2836.5,0.01,28.365,0,2864.875,AUD,No,532,Poor,NoChange,29/05/2021,11:48 AM
66-6624865,Shanna,Training,DC,2169-4006-3232-5751,492,2024-09,SSL,VI,DEBIT_CREDIT_CARD_API,Declined,DirectDebitCredit,QQPG1353271,6702.2,0.01,67.022,0,6769.232,AUD,Yes,690,Good,Decreased,22/09/2020,4:55 PM
93-0581617,Ysabel,Support,TX,7622-6784-8676-9165,498,2024-06,SSL,VI,AUSTRALIA_POST,Pending,AustraliaPost,YRFX6737973,8333.4,0.01,83.334,0,8416.744,AUD,No,710,Good,Decreased,25/04/2022,12:15 AM
49-7053168,Marline,Human Resources,IN,7525-4021-8446-0226,526,2024-07,SSL,VI,BPAY,Approved,BPay,UKHS5926846,62.8,0.01,0.628,0,63.438,AUD,No,567,Poor,Increased,13/01/2021,1:47 PM
15-4438839,Leila,Services,IN,5970-3867-1324-9805,361,2024-11,MTO,MC,AUSTRALIA_POST,Approved,AustraliaPost,XPFO7206607,6087.3,0.01,60.873,0,6148.183,AUD,Yes,701,Good,Decreased,16/12/2020,7:23 PM
53-2376826,Tye,Marketing,KY,7526-2677-5589-2728,559,2024-01,SSL,AX,AUSTRALIA_POST,Approved,AustraliaPost,IMNI7488111,4022.6,0.02,80.452,0,4103.072,AUD,No,433,Poor,Decreased,9/10/2020,4:27 PM
97-7015938,Janis,Legal,TX,3081-4357-2983-7180,404,2024-11,SSL,AX,BPAY,Pending,BPay,LCWK5075212,8804.3,0.02,176.086,0,8980.406,AUD,No,646,Fair,Increased,18/07/2021,9:26 PM
01-0978571,Conrado,Accounting,IL,4700-2493-4704-8105,741,2024-05,SSL,EFT,AUSTRALIA_POST,Approved,AustraliaPost,EOPU1805366,1708.2,0.005,8.541,0,1716.746,AUD,Yes,677,Good,NoChange,5/02/2021,1:33 PM
27-3576327,Leonardo,Sales,TX,0853-8197-9277-6911,890,2024-03,SSL,EFT,REMITTANCE_PROCESSING_SERVICE,Declined,RemittanceService,SFYU9104526,6538.2,0.005,32.691,0,6570.896,AUD,No,683,Good,Decreased,9/09/2021,1:13 AM
81-6067308,Josias,Marketing,KY,9080-2603-2947-4846,823,2024-09,REC,MC,BRANCH_PAYMENT,Pending,BranchPayment,YAIX5738953,7733.1,0.01,77.331,0,7810.441,AUD,Yes,326,Poor,NoChange,10/09/2021,11:19 PM
27-4248984,Ludvig,Training,LA,9691-3069-6897-1912,281,2024-05,SSL,AX,DEBIT_CREDIT_CARD_API,Approved,DirectDebitCredit,RCJQ1325965,8018.6,0.02,160.372,0,8178.992,AUD,No,593,Fair,NoChange,11/05/2021,10:40 PM
04-7484339,Thurstan,Research and Development,DC,0470-3681-7279-3062,123,2024-01,REC,VI,DEBIT_CREDIT_CARD_API,Approved,DirectDebitCredit,ZOCZ0283824,7724.7,0.01,77.247,0,7801.957,AUD,No,409,Poor,NoChange,14/05/2022,12:31 AM
55-4847616,Cordy,Training,TX,3273-8576-0336-4203,880,2024-01,MTO,EFT,BRANCH_PAYMENT,Approved,BranchPayment,SWPT4932183,2791.6,0.005,13.958,0,2805.563,AUD,No,586,Fair,Increased,5/12/2020,1:56 PM
59-9424156,Mari,Marketing,DC,0811-5045-7234-5573,874,2024-03,SSL,VI,AUSTRALIA_POST,Declined,AustraliaPost,ZQKN4093543,3051.8,0.01,30.518,0,3082.328,AUD,No,384,Poor,NoChange,8/06/2021,8:00 PM
88-1064565,Mario,Marketing,GA,3111-4978-6069-2011,12,2024-11,SSL,MC,BRANCH_PAYMENT,Pending,BranchPayment,XUYL1356703,7130.1,0.01,71.301,0,7201.411,AUD,Yes,371,Poor,NoChange,24/09/2021,1:02 PM
92-5447976,Lowe,Human Resources,CA,2097-0219-4484-9433,56,2024-07,REC,VI,REMITTANCE_PROCESSING_SERVICE,Declined,RemittanceService,XANE0667164,2016.8,0.01,20.168,0,2036.978,AUD,No,309,Poor,NoChange,19/06/2020,8:12 PM
02-8231930,Teressa,Accounting,DC,2866-2769-4370-5032,370,2024-04,REC,VI,DEBIT_CREDIT_CARD_API,Declined,DirectDebitCredit,EDIC4179661,1998.5,0.01,19.985,0,2018.495,AUD,Yes,306,Poor,Decreased,3/10/2020,6:07 AM
15-8495350,Vinny,Human Resources,VA,9416-4625-4779-4967,832,2024-06,MTO,EFT,BPAY,Declined,BPay,XCPJ7666613,1913.7,0.005,9.5685,0,1923.2735,AUD,Yes,463,Poor,NoChange,2/08/2020,7:21 AM
30-2467125,Mitchael,Sales,GA,2911-3068-9101-4804,432,2024-04,REC,MC,AUSTRALIA_POST,Pending,AustraliaPost,XSLT9176040,4931.1,0.01,49.311,0,4980.421,AUD,Yes,534,Poor,NoChange,5/08/2021,4:54 AM
01-7555561,Winni,Sales,IA,2038-2358-5406-7242,263,2024-07,SSL,AX,BRANCH_PAYMENT,Declined,BranchPayment,NMHN8723622,3657.6,0.02,73.152,0,3730.772,AUD,No,507,Poor,NoChange,3/03/2021,5:38 PM
41-4471248,Milt,Support,MD,0632-3901-9423-8009,18,2024-02,SSL,EFT,BRANCH_PAYMENT,Approved,BranchPayment,FMRC1305068,6712.6,0.005,33.563,0,6746.168,AUD,No,630,Fair,NoChange,23/05/2022,9:15 AM
76-9184635,Kristan,Product Management,VA,5993-4992-6123-9105,109,2024-07,SSL,VI,BRANCH_PAYMENT,Approved,BranchPayment,ZPIR0298873,6596.3,0.01,65.963,0,6662.273,AUD,No,363,Poor,NoChange,29/10/2020,8:58 AM
99-2734733,Tymothy,Accounting,CA,5482-7622-5225-8605,560,2024-05,REC,MC,DEBIT_CREDIT_CARD_API,Pending,DirectDebitCredit,YIKU0783610,4217.1,0.01,42.171,0,4259.281,AUD,Yes,497,Poor,NoChange,18/05/2021,8:35 PM
05-3449600,Ezechiel,Support,CT,2149-7547-3160-6685,116,2024-08,MTO,MC,BRANCH_PAYMENT,Declined,BranchPayment,NLVX7205759,6762.4,0.01,67.624,0,6830.034,AUD,No,347,Poor,Decreased,12/12/2021,8:24 AM
27-5461673,Vicki,Services,NC,7271-2007-1360-2481,678,2024-08,SSL,MC,DEBIT_CREDIT_CARD_API,Pending,DirectDebitCredit,NDTU8920839,4898.3,0.01,48.983,0,4947.293,AUD,Yes,523,Poor,NoChange,30/07/2020,2:29 PM
69-2136093,Winnie,Business Development,TN,8082-9729-6891-7991,562,2024-04,SSL,MC,REMITTANCE_PROCESSING_SERVICE,Declined,RemittanceService,IDDW9008267,6997.9,0.01,69.979,0,7067.889,AUD,Yes,724,Good,NoChange,31/05/2021,11:05 PM
93-7376748,Seymour,Human Resources,CA,6822-4201-7663-3501,322,2024-05,SSL,VI,BRANCH_PAYMENT,Declined,BranchPayment,GMSG9617804,6110.7,0.01,61.107,0,6171.817,AUD,Yes,500,Poor,NoChange,7/05/2021,3:29 AM
03-8920903,Derrick,Services,CT,2749-4587-2067-7083,839,2024-11,MTO,EFT,REMITTANCE_PROCESSING_SERVICE,Pending,RemittanceService,XQTY0895361,8263.4,0.005,41.317,0,8304.722,AUD,No,549,Poor,Increased,28/11/2021,8:00 PM
63-3284072,Natasha,Accounting,FL,0091-2877-5493-3903,309,2024-08,SSL,EFT,AUSTRALIA_POST,Declined,AustraliaPost,ENQR7439296,378.1,0.005,1.8905,0,379.9955,AUD,Yes,714,Good,NoChange,16/03/2022,11:00 PM
72-9342539,Torin,Accounting,NE,4287-1738-1756-3747,556,2024-08,MTO,VI,BPAY,Pending,BPay,CCTR2869307,4401.8,0.01,44.018,0,4445.828,AUD,No,708,Good,Decreased,27/01/2021,12:38 PM
29-6769555,Dom,Accounting,MI,7638-8386-3012-4014,189,2024-02,MTO,VI,BPAY,Pending,BPay,ZWMF0654147,1344.1,0.01,13.441,0,1357.551,AUD,No,717,Good,Decreased,6/06/2021,5:09 AM
99-2124198,Willey,Human Resources,NY,5619-9060-6683-5035,270,2024-07,REC,EFT,BPAY,Pending,BPay,ADCJ1960844,3280.1,0.005,16.4005,0,3296.5055,AUD,Yes,689,Good,NoChange,8/01/2022,9:51 AM
86-2693608,Doralia,Marketing,FL,1887-0492-7417-3638,936,2024-03,SSL,EFT,BRANCH_PAYMENT,Declined,BranchPayment,UDMP7420277,103.3,0.005,0.5165,0,103.8215,AUD,No,712,Good,NoChange,5/01/2021,3:37 PM
67-2388708,Bernardine,Marketing,FL,6052-2570-3285-2948,903,2024-06,SSL,MC,REMITTANCE_PROCESSING_SERVICE,Declined,RemittanceService,XLMA7889393,2795.2,0.01,27.952,0,2823.162,AUD,Yes,346,Poor,Decreased,29/11/2021,4:45 PM
04-2453234,Hall,Research and Development,MO,9839-7545-3416-3257,53,2024-03,REC,AX,BPAY,Pending,BPay,NEIU4576753,5651.6,0.02,113.032,0,5764.652,AUD,No,585,Fair,Decreased,27/01/2021,1:58 AM
73-7266433,Ilaire,Legal,AZ,0127-1026-3092-9554,81,2024-01,SSL,VI,BPAY,Approved,BPay,MARW7226686,6960.9,0.01,69.609,0,7030.519,AUD,Yes,495,Poor,NoChange,5/05/2022,6:07 PM
06-7096804,Robinet,Sales,TX,7718-1431-4245-2716,243,2024-05,SSL,AX,DEBIT_CREDIT_CARD_API,Approved,DirectDebitCredit,OCLL7330716,8619.4,0.02,172.388,0,8791.808,AUD,No,492,Poor,NoChange,25/05/2021,8:07 PM
60-5603367,Renaldo,Research and Development,SC,1612-9363-3056-9208,824,2024-11,SSL,MC,AUSTRALIA_POST,Pending,AustraliaPost,NQBP1032904,6626.8,0.01,66.268,0,6693.078,AUD,No,652,Fair,Decreased,23/10/2020,5:32 AM
35-9760722,Essa,Sales,IN,4708-7888-7882-7773,573,2024-07,MTO,MC,AUSTRALIA_POST,Approved,AustraliaPost,HDVO1172951,7557.5,0.01,75.575,0,7633.085,AUD,Yes,643,Fair,Increased,21/06/2020,7:33 PM
32-5443046,Sly,Research and Development,NC,0236-9038-4802-1560,603,2024-10,SSL,AX,BRANCH_PAYMENT,Approved,BranchPayment,TMHU9256497,2159.2,0.02,43.184,0,2202.404,AUD,Yes,531,Poor,Decreased,6/04/2022,8:07 PM
19-6697110,Kipp,Legal,MA,2935-6633-1497-7603,826,2024-03,MTO,MC,AUSTRALIA_POST,Declined,AustraliaPost,HZZG6315833,6824.8,0.01,68.248,0,6893.058,AUD,Yes,461,Poor,Increased,2/01/2021,6:51 PM
52-2000601,Carena,Business Development,MD,4928-0854-2220-5086,408,2024-01,MTO,VI,REMITTANCE_PROCESSING_SERVICE,Declined,RemittanceService,NIJX4780943,8033.9,0.01,80.339,0,8114.249,AUD,Yes,483,Poor,Decreased,17/10/2020,9:39 PM
22-4252620,Rowan,Accounting,CT,6444-8020-0208-7407,159,2024-02,MTO,EFT,BRANCH_PAYMENT,Approved,BranchPayment,AUBS7027807,7590.1,0.005,37.9505,0,7628.0555,AUD,No,535,Poor,NoChange,8/07/2021,9:54 AM
63-7898040,Audie,Legal,DC,4695-2482-5788-0482,61,2024-10,MTO,MC,BRANCH_PAYMENT,Pending,BranchPayment,SAGJ8797781,6005.6,0.01,60.056,0,6065.666,AUD,Yes,402,Poor,Increased,20/04/2021,10:16 PM
67-7760844,Aloysia,Sales,VA,0049-8092-5133-8551,425,2024-06,REC,MC,BPAY,Approved,BPay,ZMJU8319320,5718.5,0.01,57.185,0,5775.695,AUD,No,564,Poor,Decreased,25/04/2022,9:00 AM
34-9678783,Norrie,Engineering,CA,1085-8730-9304-8247,931,2024-07,MTO,MC,DEBIT_CREDIT_CARD_API,Declined,DirectDebitCredit,EKVX3459237,1296.6,0.01,12.966,0,1309.576,AUD,Yes,720,Good,Decreased,20/12/2021,11:30 AM
07-4543791,Shane,Human Resources,VA,7783-2266-9952-3365,3,2024-08,MTO,AX,BRANCH_PAYMENT,Pending,BranchPayment,PNSI5014695,702.3,0.02,14.046,0,716.366,AUD,No,675,Good,NoChange,1/01/2021,9:41 AM
12-7200415,Abbi,Accounting,PA,0787-2289-4845-6268,211,2024-06,REC,EFT,DEBIT_CREDIT_CARD_API,Declined,DirectDebitCredit,BNGQ3790067,1274.2,0.005,6.371,0,1280.576,AUD,Yes,573,Poor,Increased,14/01/2022,1:18 AM
84-1693886,Mathew,Training,NV,6478-4431-2928-6375,831,2024-07,REC,EFT,DEBIT_CREDIT_CARD_API,Approved,DirectDebitCredit,TRLS6645649,2591.3,0.005,12.9565,0,2604.2615,AUD,No,713,Good,Decreased,28/05/2022,2:37 AM
39-3025250,Charity,Sales,MI,8511-5512-5126-7280,69,2024-05,SSL,AX,DEBIT_CREDIT_CARD_API,Approved,DirectDebitCredit,HDUM7546876,4024.1,0.02,80.482,0,4104.602,AUD,No,719,Good,Decreased,27/04/2021,2:47 PM
86-3546972,Ludwig,Business Development,MD,9904-5988-2668-2720,49,2024-04,SSL,VI,BRANCH_PAYMENT,Approved,BranchPayment,ANAU3272205,3589.9,0.01,35.899,0,3625.809,AUD,Yes,613,Fair,NoChange,7/07/2021,8:42 AM
34-9691094,Addi,Human Resources,NY,7951-0704-4687-3508,830,2024-08,MTO,AX,BRANCH_PAYMENT,Pending,BranchPayment,XKLU2905988,7758.2,0.02,155.164,0,7913.384,AUD,No,520,Poor,Increased,5/11/2020,5:19 PM
29-4876298,Flss,Engineering,AR,9819-5188-4196-9145,451,2024-06,MTO,MC,BPAY,Declined,BPay,WKDR9249878,5465.6,0.01,54.656,0,5520.266,AUD,No,327,Poor,Increased,25/01/2021,12:57 AM
58-1593939,Bil,Accounting,MI,5054-3534-7192-3188,421,2024-06,MTO,EFT,REMITTANCE_PROCESSING_SERVICE,Approved,RemittanceService,SYYG0864908,5094.4,0.005,25.472,0,5119.877,AUD,No,684,Good,NoChange,16/06/2020,2:23 AM
62-2720964,Barnard,Research and Development,HI,1835-9524-9982-6031,59,2024-06,REC,VI,BRANCH_PAYMENT,Approved,BranchPayment,ZPQU3226754,8632.1,0.01,86.321,0,8718.431,AUD,Yes,357,Poor,Decreased,24/05/2021,4:54 PM
19-1120653,Zaccaria,Research and Development,CO,8831-4927-2431-5082,604,2024-01,SSL,AX,DEBIT_CREDIT_CARD_API,Approved,DirectDebitCredit,QROH7993965,2830.9,0.02,56.618,0,2887.538,AUD,Yes,300,No Data,Increased,25/01/2022,2:47 PM
04-6060682,Rina,Marketing,MS,4309-4573-6903-9029,385,2024-04,REC,AX,BRANCH_PAYMENT,Declined,BranchPayment,CVTQ9715509,8470.2,0.02,169.404,0,8639.624,AUD,No,591,Fair,Decreased,25/04/2021,1:11 PM
74-0232630,Filmore,Training,KY,9595-5786-3853-9568,408,2024-10,REC,MC,DEBIT_CREDIT_CARD_API,Approved,DirectDebitCredit,EIOZ5381743,6068.2,0.01,60.682,0,6128.892,AUD,No,415,Poor,Increased,24/07/2020,12:01 PM
65-0253979,Dalston,Support,PA,1068-0114-5969-9769,603,2024-01,REC,VI,BRANCH_PAYMENT,Pending,BranchPayment,GTJB5297256,1299.6,0.01,12.996,0,1312.606,AUD,Yes,599,Fair,Increased,8/06/2020,4:01 PM
81-4249265,Rossy,Human Resources,IN,3593-6004-3372-5882,516,2024-04,SSL,VI,BPAY,Approved,BPay,RBMT8874594,377.7,0.01,3.777,0,381.487,AUD,Yes,552,Poor,NoChange,30/04/2021,1:55 AM
28-3128719,Todd,Marketing,NY,5283-9305-0325-8445,478,2024-07,SSL,VI,AUSTRALIA_POST,Approved,AustraliaPost,LOGM3844285,8687,0.01,86.87,0,8773.88,AUD,Yes,500,Poor,Increased,6/09/2021,6:39 AM
16-4494764,Josephine,Support,KY,9513-9755-7027-9185,281,2024-08,SSL,AX,REMITTANCE_PROCESSING_SERVICE,Declined,RemittanceService,XPEX1313745,7532.2,0.02,150.644,0,7682.864,AUD,Yes,705,Good,NoChange,22/04/2021,5:14 PM
29-3793539,Daisie,Accounting,OH,6534-1393-6619-4258,325,2024-06,MTO,EFT,AUSTRALIA_POST,Declined,AustraliaPost,OLVE1630572,2382.4,0.005,11.912,0,2394.317,AUD,Yes,367,Poor,NoChange,3/06/2021,9:16 AM
91-0550302,Lennard,Product Management,OK,8796-7541-4808-4690,519,2024-09,SSL,AX,AUSTRALIA_POST,Declined,AustraliaPost,WDTA3092162,6098.4,0.02,121.968,0,6220.388,AUD,Yes,365,Poor,NoChange,10/01/2022,10:22 PM
21-7589712,Cathie,Business Development,MN,6680-3271-7631-8418,768,2024-10,REC,EFT,DEBIT_CREDIT_CARD_API,Pending,DirectDebitCredit,XIOD3718339,8614.7,0.005,43.0735,0,8657.7785,AUD,Yes,679,Good,Increased,10/05/2021,6:13 AM
06-0392473,Jim,Human Resources,KS,0636-2085-4886-3175,811,2024-06,SSL,MC,BPAY,Approved,BPay,IMZA9933027,1745.9,0.01,17.459,0,1763.369,AUD,No,558,Poor,NoChange,17/04/2021,10:06 AM
92-5252678,Jolynn,Services,CT,8449-5773-1846-1238,713,2024-06,SSL,MC,BPAY,Pending,BPay,UOTF1976444,470.7,0.01,4.707,0,475.417,AUD,Yes,682,Good,Increased,12/03/2022,8:17 AM
92-2358096,Jarid,Business Development,AL,3962-1328-5948-5339,926,2024-01,MTO,VI,DEBIT_CREDIT_CARD_API,Pending,DirectDebitCredit,JSOZ1536452,1060.6,0.01,10.606,0,1071.216,AUD,Yes,353,Poor,Increased,16/07/2020,1:04 PM
25-2057273,Stillman,Research and Development,SC,3373-6554-5922-3513,985,2024-05,REC,MC,BPAY,Declined,BPay,SSSW4643618,4317.9,0.01,43.179,0,4361.089,AUD,No,386,Poor,NoChange,29/05/2022,10:31 PM
47-8316366,Shirl,Accounting,NC,7996-1685-8954-6484,141,2024-04,MTO,AX,BRANCH_PAYMENT,Approved,BranchPayment,PTHY6076092,4234,0.02,84.68,0,4318.7,AUD,Yes,587,Fair,Decreased,2/08/2021,8:35 PM
57-0407080,Crichton,Support,MI,9055-9101-6647-8381,360,2024-06,REC,VI,REMITTANCE_PROCESSING_SERVICE,Approved,RemittanceService,MDUH0777339,2681.7,0.01,26.817,0,2708.527,AUD,No,510,Poor,Decreased,6/03/2022,9:50 PM
45-1578062,Keri,Sales,KY,6386-5021-6024-0414,301,2024-09,REC,MC,AUSTRALIA_POST,Pending,AustraliaPost,YISL0334210,1558.6,0.01,15.586,0,1574.196,AUD,No,425,Poor,Increased,23/07/2021,6:09 PM
13-1314729,Creight,Product Management,CA,8456-5869-1983-4045,925,2024-04,REC,AX,BRANCH_PAYMENT,Declined,BranchPayment,OUOM3269510,6898.5,0.02,137.97,0,7036.49,AUD,No,470,Poor,NoChange,25/04/2022,6:01 AM
81-3208493,Keelby,Accounting,ID,7987-1827-1974-2409,277,2024-08,MTO,EFT,REMITTANCE_PROCESSING_SERVICE,Pending,RemittanceService,YJSN8504006,4157.1,0.005,20.7855,0,4177.8905,AUD,Yes,457,Poor,Decreased,17/05/2022,3:09 PM
21-0936946,Lyssa,Accounting,NC,3350-6360-0115-2204,649,2024-07,MTO,MC,BRANCH_PAYMENT,Approved,BranchPayment,GYCU7519794,51.6,0.01,0.516,0,52.126,AUD,No,696,Good,NoChange,25/11/2020,6:32 AM
43-9904614,Lilly,Marketing,AL,7968-9155-1749-0123,261,2024-06,MTO,VI,BPAY,Approved,BPay,TQOL7746021,3844.3,0.01,38.443,0,3882.753,AUD,Yes,716,Good,Decreased,13/06/2021,10:47 AM
39-6266736,Selie,Legal,CT,2588-2235-6274-1984,73,2024-08,MTO,EFT,BRANCH_PAYMENT,Declined,BranchPayment,KBOO2416016,8782.4,0.005,43.912,0,8826.317,AUD,Yes,488,Poor,Decreased,16/12/2021,4:55 AM
64-7210075,Hector,Research and Development,TX,7889-7011-3545-3206,444,2024-11,REC,VI,DEBIT_CREDIT_CARD_API,Declined,DirectDebitCredit,RZWE2247653,6483.2,0.01,64.832,0,6548.042,AUD,No,445,Poor,Decreased,5/07/2020,6:34 AM
37-9462173,Anthe,Legal,NC,7399-8880-4438-7277,0,2024-10,MTO,AX,BPAY,Approved,BPay,DRNI7903155,8375.7,0.02,167.514,0,8543.234,AUD,Yes,610,Fair,Decreased,12/01/2022,4:27 AM
11-9484519,Filbert,Services,CA,4271-5964-9406-5855,609,2024-08,MTO,VI,AUSTRALIA_POST,Approved,AustraliaPost,AEKD0902317,7378,0.01,73.78,0,7451.79,AUD,No,443,Poor,Increased,12/08/2020,4:56 PM
31-5141152,Verile,Support,OH,1638-1390-1123-0251,566,2024-05,MTO,VI,AUSTRALIA_POST,Pending,AustraliaPost,IYBR8727185,6253,0.01,62.53,0,6315.54,AUD,Yes,306,Poor,Increased,23/01/2022,2:03 PM
93-6214130,Laural,Research and Development,NV,6358-2210-4138-2749,92,2024-05,SSL,EFT,DEBIT_CREDIT_CARD_API,Declined,DirectDebitCredit,IXMC1758320,6318.8,0.005,31.594,0,6350.399,AUD,Yes,553,Poor,Increased,15/05/2022,12:43 PM
36-7642919,Jean,Services,CA,9324-8638-7433-8221,9,2024-10,MTO,VI,DEBIT_CREDIT_CARD_API,Approved,DirectDebitCredit,JJCY2232559,532.9,0.01,5.329,0,538.239,AUD,Yes,686,Good,NoChange,16/02/2021,11:12 AM
26-1428384,Myriam,Legal,DC,6415-9570-2781-6094,800,2024-03,MTO,VI,AUSTRALIA_POST,Declined,AustraliaPost,WGES2968772,7023,0.01,70.23,0,7093.24,AUD,Yes,519,Poor,Increased,19/03/2021,12:45 PM
07-0217675,Salaidh,Services,DC,7596-6748-9081-1929,357,2024-02,SSL,EFT,AUSTRALIA_POST,Pending,AustraliaPost,ZVAD3621655,1100.9,0.005,5.5045,0,1106.4095,AUD,Yes,423,Poor,Decreased,18/11/2021,9:41 AM
87-3665903,Palmer,Marketing,MS,1807-8606-4523-7805,2,2024-11,SSL,EFT,REMITTANCE_PROCESSING_SERVICE,Pending,RemittanceService,OQTA4283442,754.1,0.005,3.7705,0,757.8755,AUD,Yes,715,Good,Increased,19/01/2022,5:32 PM
35-2265301,Nataline,Sales,WV,2370-9773-4508-4818,469,2024-06,MTO,AX,BRANCH_PAYMENT,Declined,BranchPayment,VFNW5710161,4668.5,0.02,93.37,0,4761.89,AUD,Yes,468,Poor,NoChange,12/10/2021,7:25 PM
54-2014210,Katha,Research and Development,TX,2917-8962-7997-2549,981,2024-01,REC,VI,DEBIT_CREDIT_CARD_API,Pending,DirectDebitCredit,NGYY0475718,1608.1,0.01,16.081,0,1624.191,AUD,No,465,Poor,Decreased,15/07/2021,10:52 AM
24-6133359,Bogey,Sales,IN,0087-8069-5135-9498,294,2024-01,REC,EFT,AUSTRALIA_POST,Approved,AustraliaPost,JSYW1699118,3186,0.005,15.93,0,3201.935,AUD,Yes,648,Fair,Decreased,28/07/2021,3:10 AM
47-0342738,Steffie,Training,CA,8120-2417-0327-5943,762,2024-03,REC,AX,REMITTANCE_PROCESSING_SERVICE,Declined,RemittanceService,OXEZ0482921,8809.4,0.02,176.188,0,8985.608,AUD,Yes,501,Poor,Decreased,26/08/2020,9:49 AM
54-5794114,Betti,Research and Development,VA,0715-1587-0524-6872,335,2024-06,REC,AX,DEBIT_CREDIT_CARD_API,Declined,DirectDebitCredit,RQKO4501291,2537.7,0.02,50.754,0,2588.474,AUD,Yes,721,Good,Increased,3/05/2022,6:21 PM
